Name,Run,BioSample,SampleName,Status
"COVID-19 Gut",SRR13067617,SAMN16810358,s155.COVID,COVID
"COVID-19 Gut",SRR13067616,SAMN16810359,s156.COVID,COVID
"COVID-19 Gut",SRR13067615,SAMN16810360,s157.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067614,SAMN16810361,s158.COVID,COVID
"COVID-19 Gut",SRR13067613,SAMN16810362,s159.COVID,COVID
"COVID-19 Gut",SRR13067611,SAMN16810363,s160.COVID,COVID
"COVID-19 Gut",SRR13067610,SAMN16810364,s161.COVID,COVID
"COVID-19 Gut",SRR13067609,SAMN16810365,s162.Control,Control
"COVID-19 Gut",SRR13067608,SAMN16810366,s163.COVID,COVID
"COVID-19 Gut",SRR13067607,SAMN16810367,s164.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067606,SAMN16810368,s165.Control,Control
"COVID-19 Gut",SRR13067605,SAMN16810369,s166.COVID,COVID
"COVID-19 Gut",SRR13067604,SAMN16810370,s167.Control,Control
"COVID-19 Gut",SRR13067603,SAMN16810371,s168.COVID,COVID
"COVID-19 Gut",SRR13067602,SAMN16810372,s169.COVID,COVID
"COVID-19 Gut",SRR13067660,SAMN16810373,s170.Control,Control
"COVID-19 Gut",SRR13067658,SAMN16810374,s171.COVID,COVID
"COVID-19 Gut",SRR13067657,SAMN16810375,s172.Control,Control
"COVID-19 Gut",SRR13067656,SAMN16810376,s173.COVID,COVID
"COVID-19 Gut",SRR13067655,SAMN16810377,s174.Control,Control
"COVID-19 Gut",SRR13067654,SAMN16810378,s175.Control,Control
"COVID-19 Gut",SRR13067653,SAMN16810379,s176.COVID,COVID
"COVID-19 Gut",SRR13067652,SAMN16810380,s177.COVID,COVID
"COVID-19 Gut",SRR13067651,SAMN16810381,s178.Control,Control
"COVID-19 Gut",SRR13067650,SAMN16810382,s179.COVID,COVID
"COVID-19 Gut",SRR13067648,SAMN16810383,s180.COVID,COVID
"COVID-19 Gut",SRR13067647,SAMN16810384,s181.COVID,COVID
"COVID-19 Gut",SRR13067646,SAMN16810385,s182.COVID,COVID
"COVID-19 Gut",SRR13067645,SAMN16810386,s183.Control,Control
"COVID-19 Gut",SRR13067644,SAMN16810387,s184.COVID,COVID
"COVID-19 Gut",SRR13067643,SAMN16810388,s185.Control,Control
"COVID-19 Gut",SRR13067642,SAMN16810389,s186.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067641,SAMN16810390,s187.COVID,COVID
"COVID-19 Gut",SRR13067640,SAMN16810391,s188.COVID,COVID
"COVID-19 Gut",SRR13067639,SAMN16810392,s189.Control,Control
"COVID-19 Gut",SRR13067637,SAMN16810393,s190.COVID,COVID
"COVID-19 Gut",SRR13067636,SAMN16810394,s191.COVID,COVID
"COVID-19 Gut",SRR13067635,SAMN16810395,s192.Control,Control
